name,path,size(GB),basecalled
PAM63974_pass_58881fec_0,/u/area/jenkins_onpexp/scratch/10G_dataset_POD5/PAM63974_pass_58881fec_0.pod5,0.398,false
PAM63974_pass_58881fec_1,/u/area/jenkins_onpexp/scratch/10G_dataset_POD5/PAM63974_pass_58881fec_1.pod5,0.515,false
